"weight";"word";"color";"url"
"17";"人体动作识别";"";"https://www.lorem.com"
"16";"生物医学工程";"";"https://www.ipsum.com"
"15";"生物传感器";"";""
"14";"人工智能";"";""
"14";"生理信号处理";"";""
"13";"可穿戴";"";""
"13";"机器学习";"";""
"12";"动作建模";"";""
"11";"实时系统";"";""
"11";"开源代码库";"";""
"11";"时序信号分析";"";""
"10";"人机交互";"";""
"9";"体域网";"";""
"9";"大数据";"";""
"9";"惯性信号";"";""
"8";"中国传统民乐";"";""
"8";"普适计算";"";""
"8";"电子测角仪";"";""
"7";"元宇宙";"";""
"7";"卡拉OK演唱辅助";"";""
"7";"音乐信息检索";"";""
"6";"离群点检测";"";""
"6";"隐马尔可夫模型";"";""
"5";"肌肉协同";"";""
"5";"表情识别";"";""
"5";"运动可听化";"";""
